s, V0, V1, V2
0.0022149085998535156,505.00,360.00, 85.00
0.2547793388366699,465.00,415.00,320.00
0.5071489810943604,  0.00,530.00,500.00
0.7601945400238037,  0.00,  0.00,  0.00
1.013747215270996,  0.00, 25.00,  0.00
1.267350435256958,465.00,405.00,290.00
1.5209589004516602,185.00,490.00,440.00
1.7746293544769287,  0.00,540.00,490.00
2.0281758308410645,  0.00, 25.00,  0.00
2.2817130088806152,  0.00, 45.00,  0.00
2.5353267192840576,475.00,335.00,130.00
2.788914918899536,460.00,435.00,320.00
3.0424492359161377,355.00,500.00,425.00
3.296025514602661,  0.00, 35.00,  0.00
3.549576759338379,  0.00, 25.00,  0.00
3.8031628131866455,425.00,230.00,  0.00
4.05679988861084,325.00,470.00,440.00
4.310444355010986, 95.00,510.00,445.00
4.564004421234131,  0.00,250.00,210.00
4.817674398422241,  0.00, 10.00,  0.00
5.070112466812134,195.00,  0.00,  0.00
5.322652339935303,420.00,470.00,425.00
5.575214385986328,120.00,500.00,435.00
5.828747510910034,  0.00,415.00,390.00
6.0822913646698,  0.00, 15.00,  0.00
6.33588433265686, 70.00, 30.00,  0.00
6.5894670486450195,465.00,435.00,380.00
6.843034029006958,435.00,440.00,405.00
7.096654891967773,  0.00,350.00,450.00
7.3502466678619385,  0.00, 10.00,  0.00
7.6038243770599365,  0.00, 10.00,  0.00
7.85747218132019,480.00,435.00,385.00
8.111042022705078,320.00,465.00,425.00
8.364746809005737,  0.00,445.00,485.00
8.618316173553467,  0.00,  0.00,  0.00
8.871922969818115,  0.00, 45.00,  0.00
9.125657558441162,510.00,435.00,355.00
9.379255294799805,410.00,445.00,390.00
9.632830619812012,  0.00,480.00,485.00
9.886563301086426,  0.00, 10.00,  0.00
10.140211820602417,  0.00, 30.00,  0.00
10.393543481826782,535.00,420.00,320.00
10.64739179611206,430.00,440.00,380.00
10.900711297988892,  0.00,420.00,495.00
11.154443740844727,  0.00,  0.00,  0.00
11.407952070236206,220.00,  0.00,  0.00
11.661580562591553,480.00,435.00,350.00
11.915152788162231,405.00,455.00,375.00
12.168668031692505,  0.00,430.00,425.00
12.422208547592163,  0.00,  0.00,  0.00
12.675851821899414,170.00,  0.00,  0.00
12.929471015930176,495.00,390.00,220.00
13.183041334152222,455.00,440.00,360.00
13.43662428855896,  0.00,380.00,415.00
13.690147638320923,  0.00, 15.00,  0.00
13.943682670593262,  0.00,  5.00,  0.00
14.19730281829834,505.00,415.00,265.00
14.450825929641724,455.00,430.00,310.00
14.704555988311768,  0.00,410.00,410.00
14.958131074905396,  0.00,  0.00,  0.00
15.211724281311035,  0.00, 15.00,  0.00
15.46534013748169,505.00,415.00,295.00
15.718908071517944,445.00,445.00,350.00
15.97247314453125,  0.00,510.00,505.00
16.225862979888916,  0.00, 15.00,  0.00
16.478840827941895,  0.00, 15.00,  0.00
16.732491731643677,505.00,415.00,280.00
16.986095666885376,435.00,435.00,375.00
17.23964238166809,  0.00,525.00,535.00
17.493192195892334,  0.00,  0.00,  0.00
17.746850967407227,  0.00,  0.00,  0.00
18.000417709350586,490.00,415.00,325.00
18.253939390182495,355.00,460.00,420.00
18.507673978805542,  0.00,530.00,495.00
18.761173725128174,  0.00,  0.00,  0.00
19.01487946510315,  0.00,  0.00,  0.00
19.268417358398438,510.00,205.00,  0.00
19.52194571495056,435.00,450.00,375.00
19.77558445930481,  0.00,535.00,465.00
20.029147148132324, 15.00,  0.00,  0.00
20.282716274261475,  0.00,  5.00,  0.00
20.536391019821167,525.00,360.00,215.00
20.789995431900024,435.00,435.00,350.00
21.043514013290405,  0.00,530.00,545.00
21.297247409820557,  0.00, 10.00,  0.00
21.550827026367188,  0.00,  0.00,  0.00
21.804393529891968,520.00,410.00,300.00
22.05779480934143,435.00,435.00,340.00
22.310429096221924,  0.00,485.00,535.00
22.562997579574585,  0.00,  5.00,  0.00
22.816110849380493,  0.00,  0.00,  0.00
23.069683074951172,455.00,450.00,375.00
23.32326030731201,385.00,460.00,365.00
23.576825618743896,  0.00,425.00,410.00
23.83042001724243,  0.00,  5.00,  0.00
24.08393621444702, 55.00,  5.00,  0.00
24.337939500808716,360.00,515.00,435.00
24.591501474380493, 35.00,500.00,425.00
24.84509778022766,  0.00,365.00,340.00
25.098663806915283,  0.00,  0.00,  0.00
25.352243900299072,205.00,  0.00,  0.00
25.60589098930359,455.00,440.00,360.00
25.859501361846924,125.00,500.00,425.00
26.113032341003418,  0.00,300.00,220.00
26.36664342880249,  0.00, 10.00,  0.00
26.62017846107483,330.00,  0.00,  0.00
26.87378740310669,470.00,435.00,325.00
27.127390384674072,275.00,490.00,430.00
27.38101029396057,  0.00, 80.00, 50.00
27.637240171432495,  0.00, 15.00,  0.00
27.89018225669861,470.00,  0.00,  0.00
28.143287181854248,445.00,450.00,365.00
28.396895170211792,  0.00,545.00,455.00
28.650469064712524,  0.00, 15.00,  0.00
28.903987884521484,  0.00,  5.00,  0.00
29.15772247314453,495.00,  0.00,  0.00
29.41133952140808,460.00,435.00,325.00
29.665043115615845,  0.00,530.00,450.00
29.9185631275177,  0.00, 30.00,  0.00
30.17211675643921,  0.00,  0.00,  0.00
30.425761461257935,495.00, 95.00,  0.00
30.680755138397217,440.00,445.00,400.00
30.934630155563354,  0.00,540.00,460.00
31.18823790550232,  0.00, 35.00,  0.00
31.44175124168396,  0.00,  0.00, 40.00
31.695351123809814,500.00,  0.00,  0.00
31.94893980026245,455.00,450.00,375.00
32.2025191783905,  0.00,540.00,450.00
32.45610189437866,  5.00, 10.00,  0.00
32.709696531295776,  0.00, 35.00,  0.00
32.96334886550903,520.00,180.00,  0.00
33.21695160865784,400.00,465.00,400.00
33.46994614601135,  0.00,550.00,475.00
33.72299838066101,  0.00, 20.00,  0.00
33.97666597366333,  0.00, 30.00,  0.00
34.230263471603394,510.00,360.00,  0.00
34.483821868896484,410.00,455.00,400.00
34.73740243911743,  0.00,540.00,495.00
34.99089169502258,  0.00, 15.00,  0.00
35.244593143463135,  0.00, 40.00,  0.00
35.49815130233765,505.00,375.00,110.00
35.75168180465698,445.00,440.00,345.00
36.00529336929321,  0.00,545.00,465.00
36.258769512176514,  0.00, 20.00,  0.00
36.5123188495636,  0.00, 20.00,  0.00
36.765933990478516,515.00,420.00,120.00
37.01952147483826,390.00,460.00,370.00
37.27302956581116,  0.00,545.00,470.00
37.52663588523865,  0.00, 30.00,  0.00
37.78028202056885,  0.00, 40.00,  0.00
