s, V0, V1, V2
0.008308887481689453,570.00,355.00,100.00
0.26805806159973145,475.00,440.00,325.00
0.5268714427947998,  0.00,440.00,395.00
0.7865796089172363,  5.00, 30.00,  0.00
1.0461838245391846,315.00, 25.00,  0.00
1.3068461418151855,565.00,355.00, 55.00
1.5647635459899902,480.00,455.00,315.00
1.8230369091033936,  0.00,320.00,230.00
2.0813791751861572,  0.00, 45.00,  0.00
2.3397555351257324,455.00, 45.00,  0.00
2.597900867462158,550.00,350.00, 95.00
2.8565402030944824,465.00,480.00,370.00
3.1147572994232178,  0.00, 85.00,  0.00
3.372589588165283,  0.00, 70.00,  0.00
3.6318459510803223,525.00,145.00,  0.00
3.8889403343200684,530.00,405.00,150.00
4.146361589431763,390.00,500.00,390.00
4.404784917831421, 30.00, 40.00,  0.00
4.664039134979248,  0.00, 55.00,  0.00
4.923077583312988,550.00,160.00,  0.00
5.1822075843811035,545.00,370.00, 50.00
5.44172215461731, 40.00,555.00,445.00
5.700375556945801, 20.00, 35.00,  0.00
5.958679676055908,  0.00, 90.00,  0.00
6.217896938323975,565.00,375.00,140.00
6.4760472774505615,490.00,415.00,195.00
6.735226631164551,  0.00,555.00,465.00
6.993631839752197,  0.00, 30.00,  0.00
7.251964330673218,  0.00, 90.00,  0.00
7.51012659072876,560.00,370.00,200.00
7.765620946884155,455.00,465.00,395.00
8.022484064102173,  0.00,300.00,365.00
8.281961679458618,  0.00,  0.00,  0.00
8.541074991226196,435.00, 15.00,  0.00
8.80031704902649,545.00,380.00,205.00
9.059937477111816,455.00,495.00,390.00
9.318872690200806,  0.00, 90.00, 25.00
9.577599287033081,  0.00, 25.00,  0.00
9.835803508758545,530.00,100.00,  0.00
10.095027923583984,500.00,395.00,210.00
10.353912353515625, 40.00,545.00,510.00
10.612330436706543, 25.00, 15.00,  0.00
10.870621919631958,  0.00, 85.00,  0.00
11.129043102264404,575.00,240.00,  0.00
11.38744854927063,530.00,325.00,105.00
11.645680904388428, 35.00,510.00,550.00
11.904825210571289, 20.00, 15.00,  0.00
12.162747621536255, 20.00, 90.00,  0.00
12.421780824661255,565.00,160.00,  0.00
12.680541038513184,480.00,415.00,295.00
12.938754558563232,  0.00,525.00,525.00
13.19834589958191,  0.00,  0.00,  0.00
13.455684185028076,  0.00, 45.00,  0.00
13.714122772216797,555.00,310.00, 25.00
13.972218036651611,490.00,420.00,285.00
14.230903148651123,  0.00,450.00,535.00
14.489306926727295, 20.00, 10.00,  0.00
14.74770712852478,  0.00, 55.00,  0.00
15.005940437316895,555.00,355.00,330.00
15.264350652694702,475.00,430.00,350.00
15.522000074386597,  0.00,410.00,435.00
15.780422687530518,  5.00, 15.00,  0.00
16.039110898971558,100.00, 45.00,  0.00
16.297908067703247,565.00,345.00, 65.00
16.55606961250305,500.00,420.00,210.00
16.815249919891357,  0.00,450.00,315.00
17.073941469192505,  5.00, 30.00,  0.00
17.332079887390137,105.00, 50.00,  0.00
17.5908100605011,565.00,360.00,120.00
17.848995447158813,485.00,425.00,385.00
18.10649585723877,  0.00,385.00,420.00
18.36451816558838,  0.00, 35.00,  0.00
18.623056650161743,265.00,  5.00,  0.00
18.88076114654541,555.00,355.00, 40.00
19.139167547225952,475.00,460.00,325.00
19.397491693496704,  0.00,240.00,220.00
19.655397176742554,  0.00, 15.00,  0.00
19.914571523666382,455.00,  0.00,  0.00
20.172757863998413,545.00,370.00,175.00
20.431113243103027,425.00,500.00,395.00
20.689459562301636,  0.00, 20.00,  0.00
20.947915077209473,  0.00, 30.00,  0.00
21.20654845237732,520.00, 55.00,  0.00
21.464821815490723,540.00,290.00, 45.00
21.724088191986084,115.00,505.00,540.00
21.982463598251343, 20.00,  0.00,  0.00
22.24042797088623,  0.00, 25.00,  0.00
22.498806476593018,535.00,100.00,  0.00
22.75762176513672,520.00,395.00,215.00
23.016255140304565, 90.00,515.00,535.00
23.273916721343994, 25.00, 15.00,  0.00
23.53241491317749,  0.00, 70.00,  0.00
23.790720462799072,515.00, 90.00,  0.00
24.049100637435913,530.00,385.00,190.00
24.30695939064026,145.00,525.00,420.00
24.565821647644043,  0.00, 25.00,  0.00
24.82443404197693,  0.00, 40.00,  0.00
25.08250331878662,385.00, 15.00,  0.00
25.340826749801636,540.00,360.00,125.00
25.59996223449707,460.00,490.00,350.00
25.858797550201416,  0.00,285.00,170.00
26.116998195648193,  0.00,  0.00,  0.00
26.375393390655518,440.00,  0.00,  0.00
26.633274793624878,555.00,295.00, 30.00
26.89089322090149,470.00,455.00,400.00
27.149596691131592,  0.00,275.00,280.00
27.40836811065674,  0.00, 15.00,  0.00
27.66789174079895,440.00,  0.00,  0.00
27.925781965255737,555.00,300.00,  0.00
28.18329644203186,435.00,490.00,440.00
28.440794944763184, 35.00, 30.00,  0.00
28.69956636428833,  0.00, 45.00,  0.00
28.95750665664673,480.00, 70.00,  0.00
29.215386152267456,540.00,315.00,115.00
29.47226858139038,405.00,500.00,460.00
29.729361057281494, 10.00, 15.00,  0.00
29.98697853088379,  0.00, 45.00,  0.00
30.24668598175049,515.00, 50.00,  0.00
30.503865242004395,535.00,365.00,330.00
30.761749744415283,190.00,530.00,380.00
31.02018713951111,  0.00, 15.00,  0.00
31.27942657470703,  0.00, 25.00,  0.00
31.536412000656128,460.00, 15.00,  0.00
31.793447732925415,540.00,360.00,115.00
32.05039310455322,410.00,500.00,375.00
32.3073992729187,  0.00,395.00,255.00
32.565025091171265,  0.00, 15.00,  0.00
32.8230402469635,340.00,  0.00,  0.00
33.08045291900635,540.00,405.00,210.00
33.33753824234009,455.00,490.00,340.00
33.59446859359741,  0.00,340.00,220.00
33.8515260219574, 20.00, 15.00,  0.00
34.10902166366577,435.00,  0.00,  0.00
34.36646914482117,530.00,415.00,255.00
34.62344169616699,305.00,515.00,415.00
34.88035202026367,  0.00,120.00,  0.00
35.13733744621277,  0.00, 20.00,  0.00
35.394301891326904,480.00, 30.00,  0.00
35.65122938156128,520.00,405.00,270.00
35.90834379196167,375.00,505.00,425.00
36.16527533531189, 50.00, 25.00,  0.00
36.42227077484131,  0.00, 45.00,  0.00
36.67934226989746,520.00,115.00,  0.00
36.9362587928772,540.00,315.00,160.00
37.19329810142517,105.00,520.00,495.00
37.45021677017212, 35.00, 15.00,  0.00
37.70719814300537,  0.00, 50.00,  0.00
37.96417546272278,525.00,105.00,  0.00
38.221434116363525,500.00,420.00,245.00
38.47852063179016, 35.00,550.00,465.00
38.735358238220215, 30.00, 20.00,  0.00
38.99230360984802,  0.00, 35.00,  0.00
39.24932503700256,540.00,100.00,  0.00
39.50617432594299,490.00,430.00,280.00
39.76344013214111,  0.00,550.00,395.00
40.02034258842468, 10.00, 15.00,  0.00
40.277365922927856,  0.00, 60.00,  0.00
40.53432846069336,545.00,185.00,  0.00
40.7913179397583,530.00,370.00,165.00
41.048399448394775,190.00,515.00,435.00
41.30530405044556, 35.00, 20.00,  0.00
41.56226444244385,  0.00, 60.00,  0.00
41.81932783126831,545.00,135.00,  0.00
42.07615947723389,535.00,340.00, 65.00
42.33319091796875,430.00,505.00,355.00
42.590123414993286, 35.00, 30.00,  0.00
42.847172021865845,  0.00, 50.00,  0.00
43.1040403842926,530.00, 85.00,  0.00
43.36091995239258,535.00,370.00,180.00
43.617966651916504,440.00,495.00,390.00
43.874833822250366,  0.00, 70.00,  0.00
44.1317343711853,  0.00, 45.00,  0.00
44.38876485824585,495.00,100.00,  0.00
44.64573049545288,550.00,370.00,110.00
44.902677059173584,510.00,425.00,340.00
45.15885853767395,  0.00,340.00,380.00
45.41479015350342, 20.00, 15.00,  0.00
45.671669483184814,240.00, 20.00,  0.00
45.928749084472656,555.00,380.00,160.00
46.18564558029175,505.00,430.00,295.00
46.44250822067261, 15.00,545.00,475.00
46.69956374168396, 30.00,  0.00,  0.00
46.95646929740906,  0.00, 50.00,  0.00
47.213425636291504,540.00,280.00,  0.00
47.47038435935974,525.00,415.00,245.00
47.72738790512085, 60.00,545.00,485.00
47.98432230949402, 20.00, 20.00,  0.00
48.24122190475464,  0.00, 70.00,  0.00
48.49823021888733,535.00,350.00, 45.00
48.75208282470703,505.00,430.00,280.00
49.00630450248718, 65.00,545.00,475.00
49.26130294799805, 40.00,  5.00, 20.00
49.516135692596436,  0.00, 65.00,  0.00
49.77305483818054,525.00,105.00,  0.00
50.030049562454224,535.00,385.00,240.00
50.2868812084198,465.00,485.00,395.00
50.54395151138306, 35.00, 30.00,  0.00
50.80091214179993,  0.00, 40.00,  0.00
51.05800986289978,490.00, 40.00,  0.00
51.31485438346863,535.00,410.00,215.00
51.57173991203308,470.00,490.00,360.00
51.82875919342041,  0.00,235.00,140.00
52.085662841796875,  0.00, 20.00,  0.00
52.34065842628479,465.00,  0.00,  0.00
52.59568500518799,515.00,440.00,290.00
52.85240650177002,280.00,515.00,425.00
53.110870122909546,  0.00,320.00,165.00
53.36948275566101, 25.00, 20.00,  0.00
53.628207206726074,435.00, 10.00,  0.00
53.88612174987793,545.00,385.00,190.00
54.14321327209473,475.00,470.00,310.00
54.40011978149414,  0.00,410.00,295.00
54.65798044204712, 15.00, 15.00,  0.00
54.91620874404907,410.00,  0.00,  0.00
55.174609661102295,560.00,195.00,  0.00
55.43374514579773,465.00,475.00,350.00
55.69298338890076,  0.00,405.00,280.00
55.95227026939392,  5.00, 30.00,  0.00
56.21151375770569,310.00, 20.00,  0.00
56.47076106071472,565.00,275.00,  0.00
56.73034381866455,445.00,490.00,370.00
56.98992037773132,  0.00,440.00,345.00
57.249488830566406, 15.00, 20.00,  0.00
57.50821852684021,  0.00, 85.00,  0.00
57.766010999679565,570.00,195.00,  0.00
58.02482080459595,470.00,455.00,325.00
58.28248429298401,  0.00,490.00,520.00
58.54090881347656, 30.00, 20.00,  0.00
58.79863524436951,  0.00,105.00,  0.00
59.05693006515503,535.00, 70.00,  0.00
59.31541037559509,520.00,400.00,200.00
59.57456088066101, 15.00,555.00,515.00
59.8327054977417, 15.00, 10.00,  0.00
60.09175896644592,  0.00, 20.00,  0.00
60.350191831588745,540.00,105.00,  0.00
60.60898232460022,520.00,405.00,240.00
60.86730194091797, 70.00,535.00,500.00
61.12559151649475, 30.00, 10.00,  0.00
61.38343811035156,  0.00, 60.00,  0.00
61.64170455932617,525.00,100.00,  0.00
61.90049433708191,540.00,340.00,145.00
62.158360719680786,125.00,505.00,520.00
62.41662955284119, 40.00,  0.00, 35.00
62.67485475540161, 15.00, 15.00,  0.00
62.93414258956909,535.00, 20.00,  0.00
63.19227933883667,540.00,385.00,205.00
63.45094871520996,345.00,500.00,435.00
63.70863938331604, 65.00, 30.00,  0.00
63.96692991256714,  0.00, 20.00,  0.00
64.22575044631958,475.00, 55.00,  0.00
64.48428916931152,555.00,270.00,  0.00
64.74260067939758,275.00,510.00,420.00
65.00098538398743,  0.00, 75.00,  0.00
65.26012802124023,  0.00, 40.00,  0.00
65.51825547218323,495.00,  0.00,  0.00
65.77619123458862,545.00,265.00,  0.00
66.03480768203735,250.00,500.00,470.00
66.29352521896362, 75.00, 20.00,  0.00
66.55249571800232, 15.00, 55.00,  0.00
66.8106644153595,535.00, 65.00,  0.00
67.06887626647949,535.00,335.00,200.00
67.32770276069641,110.00,510.00,520.00
67.58551931381226, 40.00, 15.00,  0.00
67.8442759513855,  5.00, 75.00,  0.00
68.10282945632935,520.00,100.00,  0.00
68.36048030853271,515.00,415.00,210.00
68.61900496482849,330.00,510.00,420.00
68.87744522094727, 25.00, 45.00,  0.00
69.13565587997437,  0.00, 70.00,  0.00
69.39407873153687,530.00,115.00,  0.00
69.6525011062622,535.00,375.00, 95.00
69.91078281402588,450.00,490.00,410.00
70.16919541358948,  0.00,110.00,  0.00
70.42698907852173,  0.00,135.00,  0.00
70.68577575683594,475.00,110.00,  0.00
70.94355416297913,535.00,390.00, 10.00
71.2026469707489,465.00,485.00,140.00
71.46152067184448,  0.00,310.00, 60.00
71.71922421455383,  0.00, 65.00,  0.00
71.97843194007874,425.00, 45.00,  0.00
72.23665452003479,545.00,355.00,  0.00
72.4948902130127,505.00,385.00,  0.00
72.75283074378967,  0.00,460.00,315.00
73.01110434532166, 30.00, 30.00,  0.00
73.26941514015198,  0.00,115.00,  0.00
73.52866864204407,555.00,330.00, 15.00
73.78692126274109,480.00,460.00,345.00
74.04535388946533,  0.00,510.00,510.00
74.3036756515503, 15.00, 35.00,  0.00
74.56104326248169,  0.00,115.00,  0.00
74.81909680366516,560.00,345.00, 55.00
75.07683944702148,490.00,425.00,280.00
75.33649230003357, 30.00,520.00,520.00
75.59635972976685, 35.00, 40.00,  0.00
75.85556554794312,  0.00,100.00,  0.00
76.11385488510132,550.00,320.00,  0.00
76.37309670448303,470.00,455.00,340.00
76.63137221336365, 25.00,550.00,505.00
76.88940691947937,  0.00, 65.00,  0.00
77.14777374267578,  0.00,120.00,  0.00
77.40559434890747,535.00,165.00,  0.00
77.66341876983643,520.00,420.00,180.00
77.92171573638916,275.00,520.00,420.00
78.18045139312744, 15.00, 45.00,  0.00
78.43888592720032,  0.00, 50.00,  0.00
78.69632959365845,450.00, 30.00,  0.00
78.95469331741333,525.00,410.00,270.00
79.21230268478394,415.00,490.00,385.00
79.47157168388367,  0.00,395.00,235.00
79.7302041053772,  0.00, 25.00,  0.00
79.98840689659119,375.00, 20.00,  0.00
80.24790334701538,545.00,365.00,175.00
80.50573921203613,485.00,435.00,330.00
80.76384997367859,  0.00,400.00,370.00
81.02259254455566, 20.00, 30.00,  0.00
81.28029727935791,375.00, 15.00,  0.00
81.53950905799866,545.00,390.00,195.00
81.7978286743164,470.00,475.00,365.00
82.0560781955719,  0.00,475.00,340.00
82.31413888931274,  0.00, 35.00,  0.00
82.57274556159973,  0.00, 60.00,  0.00
82.83087420463562,545.00,370.00,195.00
83.08864307403564,480.00,455.00,340.00
83.34694743156433,  0.00,535.00,495.00
83.60589528083801,  0.00, 25.00,  0.00
83.86113595962524,  0.00, 80.00,  0.00
84.1179575920105,560.00,275.00,  0.00
84.37761640548706,525.00,345.00,200.00
84.63797187805176, 85.00,490.00,545.00
84.89584875106812, 35.00, 25.00,  0.00
85.15360951423645,  0.00, 90.00,  0.00
85.41007709503174,555.00,255.00,  0.00
85.66687369346619,525.00,405.00,210.00
85.92657661437988, 45.00,555.00,490.00
86.18622136116028, 10.00, 20.00,  0.00
86.44549989700317,  0.00, 80.00,  0.00
86.70505166053772,545.00,195.00,  0.00
86.96464133262634,535.00,365.00,165.00
87.22324299812317,135.00,520.00,460.00
87.48110365867615, 25.00, 20.00,  0.00
87.73950433731079,  0.00, 45.00,  0.00
87.9978358745575,545.00,190.00,  0.00
88.25573778152466,525.00,400.00,270.00
88.51423525810242,145.00,520.00,475.00
88.77282404899597, 25.00, 20.00,  0.00
89.0308690071106,  0.00, 60.00,  0.00
89.28967642784119,535.00,220.00,  0.00
